,0,pi/16,2pi/16,3pi/16,4pi/16,5pi/16,6pi/16,7pi/16,8pi/16
0,0.7814184529928845,0.005067142490859259,6.938683510659692e-07,1.9451927982045563e-11,1.74904840550839e-10,9.707584296744268e-13,7.937861739154822e-14,7.966220415232811e-13,9.563599223026124e-15
pi/16,0.20871506165349363,0.8402860137800688,0.11475041865363633,2.3357393941066854e-06,2.6980276726147506e-05,1.1909536112444789e-10,8.917074806734226e-13,6.090582349208595e-14,9.485829836020921e-11
2pi/16,0.007248937254360281,0.42532017184620774,0.8741918340895175,0.001790061736322659,0.0043011719252796,2.22399345739705e-08,3.111374848124602e-12,1.5887789740482125e-11,6.257872922653726e-09
3pi/16,0.0006418035728338869,0.0014321259709297717,0.14101009074539417,0.9840085669927345,0.09748849735426313,6.489638411949928e-06,2.3938910478775293e-10,2.5749877403774108e-12,4.507281363646988e-09
4pi/16,1.523746554997853e-10,1.7627805913642174e-08,0.00010381469721926715,0.0025842908899557033,0.5836888383740781,0.003523700989463906,0.00014468965823638712,4.11933354031414e-09,6.427748847497065e-08
5pi/16,5.094448277555689e-09,2.633858550363277e-10,1.4878901737968397e-05,0.012440108241999774,0.046090030662620185,0.11397259525841796,0.021130882955916155,3.7276091234310905e-05,2.4391593531880355e-06
6pi/16,1.8403953597863352e-08,9.400421690196648e-11,2.2004868284312762e-09,0.0007223110334021237,2.225503071262616e-06,0.02308002148268143,0.6898173635848656,0.03361096985216672,0.00023272071296928022
7pi/16,1.0516995517183957e-06,1.892477244880165e-14,2.6306702316844214e-12,9.20458696114722e-08,5.059840952587762e-09,4.426923416828967e-06,0.20629647742065704,0.7858537019672194,0.13711397171579465
8pi/16,2.0173804339343394e-10,2.175360770993468e-12,5.937196048952272e-10,8.194734082981395e-09,5.3102725003494566e-11,1.0885815836848441e-08,0.0005595644384266037,0.11011764880698005,0.6475197888169628
