,Distances,Mean N normal,Mean N inverted,SD N normal,SD N inverted
0,0.1,56825614.53333333,61652357.53333333,6497.942837202829,7476.595378171062
1,3.0,63124.933333333334,68426.43333333333,269.0784189702986,221.61824283112517
2,5.0,22730.366666666665,24599.133333333335,161.29548109671958,131.69503491864157
3,7.0,11584.833333333334,12578.833333333334,79.73835686515967,116.03450157412473
4,9.0,7011.1,7615.966666666666,81.0902172480339,77.66186680447204
5,11.0,4707.8,5080.1,75.6819661478215,56.072185618183276
6,13.0,3377.9666666666667,3659.633333333333,74.80529541564702,59.81163952126896
7,15.0,2536.8333333333335,2723.366666666667,48.73744852666057,50.829442474044725
8,17.0,1970.3666666666666,2128.5333333333333,43.73974800516751,44.695811387148524
9,19.0,1576.2666666666667,1712.7333333333333,42.679373107965034,38.869811193549964
10,21.0,1294.0333333333333,1389.0333333333333,32.40625796903363,39.53098643961328
11,23.0,1074.5,1166.2,30.491255577077613,35.12207283176777
12,25.0,911.8333333333334,986.4666666666667,31.034479033631108,32.72179022540722
13,27.0,777.5,844.9,27.73896176860266,31.41904942334613
14,29.0,679.8333333333334,731.1,23.372467183038726,24.972451488256684
15,31.0,588.3666666666667,642.0333333333333,21.730904772287374,17.363723359028988
16,33.0,522.3666666666667,561.7333333333333,19.530289865289305,23.10401600491905
17,35.0,462.06666666666666,499.53333333333336,24.538314711668544,24.896764626932736
18,37.0,407.76666666666665,453.23333333333335,16.91879296981778,23.133933709788504
19,39.0,364.76666666666665,403.8333333333333,18.300607154469553,22.570014522714768
20,41.0,334.3666666666667,369.53333333333336,15.749038771373389,20.797008331862436
21,43.0,310.6333333333333,334.0,21.592411218347575,17.86430332627985
22,45.0,281.6,301.23333333333335,18.382237803560987,18.922091733092184
23,47.0,254.53333333333333,275.06666666666666,15.298656440645004,16.074686794944263
24,49.0,236.53333333333333,258.8666666666667,14.200312985596089,16.501986412415796
25,51.0,215.0,240.13333333333333,12.96148139681572,14.789034977156406
26,53.0,198.0,217.5,13.386560424545209,15.677478538761688
27,55.0,188.7,202.96666666666667,14.839474384222644,14.788471485886866
28,57.0,174.13333333333333,191.56666666666666,10.012436710855598,14.72114880782822
29,59.0,159.8,176.1,14.402314628790284,10.380590863080322
30,61.0,152.63333333333333,165.93333333333334,8.98325602935199,12.104911767084008
31,63.0,140.8,157.63333333333333,11.190472137790554,14.024938106419183
32,65.0,136.23333333333332,147.5,11.652419872665458,8.735941086492437
33,67.0,126.1,137.73333333333332,11.151532032266537,11.239612488377386
34,69.0,118.0,131.66666666666666,12.096831541082704,11.645695437466248
35,71.0,108.83333333333333,121.76666666666667,12.318234000411298,10.21986083836544
36,73.0,104.93333333333334,117.9,10.645604204970656,11.91455692280106
37,75.0,101.73333333333333,105.83333333333333,11.248506073647684,8.414603707576227
38,77.0,95.5,107.1,8.484299224646271,9.367852831181041
39,79.0,90.56666666666666,99.6,9.721739670564226,9.485427419643953
40,81.0,88.1,97.83333333333333,8.576518330107309,8.959476671224845
41,83.0,80.06666666666666,88.56666666666666,7.856773440089061,9.105614873374682
42,85.0,77.16666666666667,84.73333333333333,8.914719413544221,6.879599471545483
43,87.0,74.83333333333333,81.8,10.779868067632162,7.180529228406496
44,89.0,72.5,81.9,8.098353742170895,8.07609641679279
45,91.0,65.6,75.6,6.765599258996451,9.304479208066045
46,93.0,66.53333333333333,71.6,8.393383637657038,6.311893535223799
47,95.0,63.63333333333333,69.63333333333334,6.145368626498785,9.141419777887654
48,97.0,59.63333333333333,65.5,7.547552951490672,9.337201579345566
49,99.0,61.166666666666664,63.6,6.802368868432689,8.503332679994747
